sku,title,status,query,top_score,winner_page_url,winner_image_url,winner_reasons,staged_dir,reason
889933951326,* Pokemon Battle Feature Figure Charizard,missing,889933951326 * Pokemon Battle Feature Figure Charizard Pokemon 889933951326 B08B3XP7DZ,65,,,,,no candidate reached 70
SMX 220,My First Safari Animals,missing,SMX 220 My First Safari Animals SmartMax B06Y3V1WXG,0,,,,,no candidate reached 70
231 6074330,Gabby's Dollhouse Movie - 2-Pack Garden,missing,231 6074330 Gabby's Dollhouse Movie - 2-Pack Garden Spin Master 681147088856 B0DTJD94KC,65,,,,,no candidate reached 70
231 6074578,Gabby's Dollhouse Movie - 2-Pack Cat Francisco,missing,231 6074578 Gabby's Dollhouse Movie - 2-Pack Cat Francisco Spin Master 681147092822 B0DTJFR4TK,0,,,,,no candidate reached 70
TTOM-T72980EN,Articulate! Board Game,review,TTOM-T72980EN Articulate! Board Game Ventura Games B00009R61B,75,,,,,"below_winner_threshold, low_margin, generic_page"
401510006,Bolt Action Starter Set,review,401510006 Bolt Action Starter Set Warlord Games 5060917993890 B0DJRHGK54,75,,,,,"below_winner_threshold, low_margin, generic_page"
401510007,Band of Brothers Two-Player Starter Set (2025),review,401510007 Band of Brothers Two-Player Starter Set (2025) Warlord Games 5060917994538 B0F5BJ4HQC,75,,,,,"below_winner_threshold, low_margin, generic_page"
451510001,Konflikt '47 Rulebook 2025 (English),missing,451510001 Konflikt '47 Rulebook 2025 (English) Warlord Games 5060917996181 B0FMYGR66V,60,,,,,no candidate reached 70
X002A8QKZR,Cat Flower Puzzle,missing,X002A8QKZR Cat Flower Puzzle Amazon,0,,,,,no candidate reached 70
X002DWA1CD,Cat Bookshelf Puzzle,missing,X002DWA1CD Cat Bookshelf Puzzle Amazon,0,,,,,no candidate reached 70
558 CN3081,Catan 6th Edition (2025),missing,558 CN3081 Catan 6th Edition (2025) Asmodee 29877030811,0,,,,,no candidate reached 70
978-1529032178,Attached - Book,missing,978-1529032178 Attached - Book bluebird 9781529032178,0,,,,,no candidate reached 70
978-0552178594,A Survival Guide for Life - Bear Grylls,missing,978-0552178594 A Survival Guide for Life - Bear Grylls FSC 9780552178594,0,,,,,no candidate reached 70
985 47709,Pop! Vinyl - Batman 1989 - Joker w/Hat w/Chase,missing,985 47709 Pop! Vinyl - Batman 1989 - Joker w/Hat w/Chase FUNKO 889698477093,0,,,,,no candidate reached 70
985 48600,Pop! Vinyl - Dragon Ball Z - Super Saiyan Goku,missing,985 48600 Pop! Vinyl - Dragon Ball Z - Super Saiyan Goku FUNKO 889698486002,0,,,,,no candidate reached 70
985 48740,Pop! Vinyl - Mandalorian - The Child,missing,985 48740 Pop! Vinyl - Mandalorian - The Child FUNKO 889698487405,0,,,,,no candidate reached 70
985 5305,Pop! Vinyl - One Piece - Luffy,missing,985 5305 Pop! Vinyl - One Piece - Luffy FUNKO 849803053055,0,,,,,no candidate reached 70
985 54462,Pop! Vinyl - One Piece - Roronoa Zoro,missing,985 54462 Pop! Vinyl - One Piece - Roronoa Zoro FUNKO 889698544627,0,,,,,no candidate reached 70
985 5858,Pop! Vinyl - Harry Potter - Harry Potter,missing,985 5858 Pop! Vinyl - Harry Potter - Harry Potter FUNKO 849803058586,0,,,,,no candidate reached 70
985 5859,Pop! Vinyl - Harry Potter - Ron Weasley,missing,985 5859 Pop! Vinyl - Harry Potter - Ron Weasley FUNKO 849803058593,0,,,,,no candidate reached 70
985 59276,Pop! Vinyl - The Batman - Batman,missing,985 59276 Pop! Vinyl - The Batman - Batman FUNKO 889698592765,0,,,,,no candidate reached 70
985 67457,Pop! Vinyl - Wednesday Addams,missing,985 67457 Pop! Vinyl - Wednesday Addams FUNKO 889698674577,0,,,,,no candidate reached 70
985 72135,Pop! Vinyl - Stranger Things S4 - Finale Eleven,missing,985 72135 Pop! Vinyl - Stranger Things S4 - Finale Eleven FUNKO 889698721356,0,,,,,no candidate reached 70
985 72137,Pop! Vinyl - Stranger Things Season 4 - Dustin with Shield,missing,985 72137 Pop! Vinyl - Stranger Things Season 4 - Dustin with Shield FUNKO 889698721370,0,,,,,no candidate reached 70
985 82497,Pop! Vinyl - Marvel NC - Captain America,missing,985 82497 Pop! Vinyl - Marvel NC - Captain America FUNKO 889698824972,0,,,,,no candidate reached 70
985 82499,Pop! Vinyl - Marvel NC - Iron Man,missing,985 82499 Pop! Vinyl - Marvel NC - Iron Man FUNKO 889698824996,0,,,,,no candidate reached 70
985 82500,Pop! Vinyl - Marvel NC - Spiderman,missing,985 82500 Pop! Vinyl - Marvel NC - Spiderman FUNKO 889698825009,0,,,,,no candidate reached 70
985 83797,Pop! Vinyl - Star Wars S9 - Luke Skywalker BS,missing,985 83797 Pop! Vinyl - Star Wars S9 - Luke Skywalker BS FUNKO 889698837972,0,,,,,no candidate reached 70
985 83804,Pop! Vinyl - Naruto Shippuden - Naruto (chase),missing,985 83804 Pop! Vinyl - Naruto Shippuden - Naruto (chase) FUNKO 889698838047,0,,,,,no candidate reached 70
985 83877,Pop! Vinyl - Dragon Ball - Goku with Tail,missing,985 83877 Pop! Vinyl - Dragon Ball - Goku with Tail FUNKO 889698838771,0,,,,,no candidate reached 70
985 85703,Bitty POP: Spiderman - Venom 4 Pack,missing,985 85703 Bitty POP: Spiderman - Venom 4 Pack FUNKO 889698857031,0,,,,,no candidate reached 70
985 86430,Pop! Vinyl - LOTR - Frodo Baggins,missing,985 86430 Pop! Vinyl - LOTR - Frodo Baggins FUNKO 889698864305,0,,,,,no candidate reached 70
985 86681,Pop! Vinyl - Wednesday - Enid Sinclair,missing,985 86681 Pop! Vinyl - Wednesday - Enid Sinclair FUNKO 889698866811,0,,,,,no candidate reached 70
985 86892,Bitty POP: One Piece - Luffy 4 Pack,missing,985 86892 Bitty POP: One Piece - Luffy 4 Pack FUNKO 889698868921,0,,,,,no candidate reached 70
285 G0009,Monopoly Classic,missing,285 G0009 Monopoly Classic Hasbro,0,,,,,no candidate reached 70
125 HKPP6409,Hello Kitty Project Book,missing,125 HKPP6409 Hello Kitty Project Book Hello Kitty,0,,,,,no candidate reached 70
211 20805,Plastic Coated Playing Cards,missing,211 20805 Plastic Coated Playing Cards HTI,0,,,,,no candidate reached 70
978-1509801251,Julia Donaldson Story Collection,missing,978-1509801251 Julia Donaldson Story Collection Macmillan 9781509801251,0,,,,,no candidate reached 70
900 HLN49,Jurassic World Danger Pack,missing,900 HLN49 Jurassic World Danger Pack MATTEL 194735116898,0,,,,,no candidate reached 70
900 JKM91,Jurassic World Hammond Collection Ornitholestes,missing,900 JKM91 Jurassic World Hammond Collection Ornitholestes Mattel,0,,,,,no candidate reached 70
900 JKM92,Jurassic World Hammond Collection Dryosaurus,missing,900 JKM92 Jurassic World Hammond Collection Dryosaurus Mattel,0,,,,,no candidate reached 70
978-1473217386,Neuromancer - William Gibson,missing,978-1473217386 Neuromancer - William Gibson Orion Books 9781473217386,0,,,,,no candidate reached 70
978-1473217447,Burning Chrome - William Gibson,missing,978-1473217447 Burning Chrome - William Gibson Orion Books 9781473217447,0,,,,,no candidate reached 70
978-1035053995,Kristin Hannah Collection,missing,978-1035053995 Kristin Hannah Collection pan macmillan 9781035053995,0,,,,,no candidate reached 70
978-0349437675,Flawless - Elise Silver,missing,978-0349437675 Flawless - Elise Silver PIATKUS 9780349437675,0,,,,,no candidate reached 70
978-0349437705,Powerless - Elise Silver,missing,978-0349437705 Powerless - Elise Silver PIATKUS 9780349437705,0,,,,,no candidate reached 70
978-1464221361,Never Lie - Freida McFadden,missing,978-1464221361 Never Lie - Freida McFadden Poisoned Pen Press 9781464221361,0,,,,,no candidate reached 70
978-1464221385,The Inmate - Freida McFadden,missing,978-1464221385 The Inmate - Freida McFadden Poisoned Pen Press 9781464221385,0,,,,,no candidate reached 70
978-1464221392,One by One - Freida McFadden,missing,978-1464221392 One by One - Freida McFadden Poisoned Pen Press 9781464221392,0,,,,,no candidate reached 70
978-1464228575,Ward D - Freida McFadden,missing,978-1464228575 Ward D - Freida McFadden Poisoned Pen Press 9781464228575,0,,,,,no candidate reached 70
978-1464228599,The Perfect Son - Freida McFadden,missing,978-1464228599 The Perfect Son - Freida McFadden Poisoned Pen Press 9781464228599,0,,,,,no candidate reached 70
10-10187-122,Pokemon Cards - Phantasmal Flames Blister Pack of 3,missing,10-10187-122 Pokemon Cards - Phantasmal Flames Blister Pack of 3 Pokemon 196214143340,0,,,,,no candidate reached 70
